num_particles,velocity,forces_x,forces_y,forces_z,radius,yzarea,Reynolds number,C_d
1.0,0.01,2.7922163217598444e-10,5.296168520340503e-09,-1.4990010848661263e-14,0.0005,7.79568834313217e-07,0.8829319533878117,7.163488838595568
1.0,0.030204081632653063,1.1181133395191818e-09,5.296679807383995e-09,-6.69438125285869e-14,0.0005,7.79568834313217e-07,2.6668148796203295,3.1443442332748304
1.0,0.05040816326530612,2.189879905930193e-09,5.2959219213709554e-09,-1.7259794218351148e-13,0.0005,7.79568834313217e-07,4.450697805852847,2.211027169269336
1.0,0.07061224489795918,3.4713790451562154e-09,5.295760393214988e-09,-3.2987387732183085e-13,0.0005,7.79568834313217e-07,6.234580732085365,1.7861483517224022
1.0,0.09081632653061224,4.941242136015132e-09,5.295558477237303e-09,-5.350853614597348e-13,0.0005,7.79568834313217e-07,8.01846365831788,1.537035157239049
1.0,0.11102040816326529,6.590403722610872e-09,5.295319727152289e-09,-7.867593264789349e-13,0.0005,7.79568834313217e-07,9.8023465845504,1.371771917059367
1.0,0.13122448979591836,8.344698881021518e-09,5.295061473508092e-09,-1.0015215591033594e-12,0.0005,7.79568834313217e-07,11.586229510782916,1.2432441120406095
1.0,0.15142857142857144,1.0337823137435848e-08,5.294742344289815e-09,-1.3107123175683023e-12,0.0005,7.79568834313217e-07,13.370112437015436,1.1566154106150082
1.0,0.1716326530612245,1.2497863269151436e-08,5.294390247974209e-09,-1.6515866694500522e-12,0.0005,7.79568834313217e-07,15.153995363247954,1.0884574709837693
1.0,0.19183673469387755,1.4824563742891764e-08,5.294002680151378e-09,-2.0264852763947488e-12,0.0005,7.79568834313217e-07,16.93787828948047,1.0334605469855276
1.0,0.2120408163265306,1.7318113177305717e-08,5.29353051838551e-09,-2.486754649406299e-12,0.0005,7.79568834313217e-07,18.721761215712988,0.9881825159814185
1.0,0.23224489795918368,1.996320574838311e-08,5.293133025443373e-09,-2.8668019423993954e-12,0.0005,7.79568834313217e-07,20.505644141945506,0.949540396779781
1.0,0.2524489795918367,2.2770569152028528e-08,5.292662597243465e-09,-3.3205596244736065e-12,0.0005,7.79568834313217e-07,22.28952706817802,0.9166471107982405
1.0,0.2726530612244898,2.569950273541328e-08,5.292012694444084e-09,-3.967292595252353e-12,0.0005,7.79568834313217e-07,24.07340999441054,0.8869098763396525
1.0,0.29285714285714287,2.880676757305941e-08,5.291494785693689e-09,-4.4665261086426865e-12,0.0005,7.79568834313217e-07,25.857292920643058,0.8617046045014115
1.0,0.3130612244897959,3.206848457863671e-08,5.290967008515739e-09,-4.9724302975258065e-12,0.0005,7.79568834313217e-07,27.641175846875573,0.8394511056537316
1.0,0.333265306122449,3.55608101367517e-08,5.290616159397265e-09,-5.289712640269153e-12,0.0005,7.79568834313217e-07,29.42505877310809,0.8214231987875954
1.0,0.35346938775510206,3.9140464848687415e-08,5.2900780913049154e-09,-5.8057656253562544e-12,0.0005,7.79568834313217e-07,31.208941699340613,0.8037072593822542
1.0,0.3736734693877551,4.287170764337789e-08,5.2895371436515975e-09,-6.324187852613577e-12,0.0005,7.79568834313217e-07,32.99282462557313,0.787701696892869
1.0,0.39387755102040817,4.661515299324018e-08,5.288702617163862e-09,-7.158888592827455e-12,0.0005,7.79568834313217e-07,34.77670755180565,0.7708682935004679
1.0,0.4140816326530612,5.062137948696117e-08,5.288124187421677e-09,-7.719551368914753e-12,0.0005,7.79568834313217e-07,36.560590478038165,0.7574213959870202
1.0,0.4342857142857143,5.47754725906988e-08,5.2875533689008915e-09,-8.276333877246875e-12,0.0005,7.79568834313217e-07,38.34447340427068,0.7450931542241331
1.0,0.45448979591836736,5.9298569536743e-08,5.287444884674222e-09,-8.327409164617429e-12,0.0005,7.79568834313217e-07,40.128356330503195,0.7364978274951819
1.0,0.4746938775510204,6.37772182375185e-08,5.286962648648873e-09,-8.788952680160315e-12,0.0005,7.79568834313217e-07,41.91223925673571,0.7261290957996936
1.0,0.49489795918367346,6.835062328237083e-08,5.286424604116459e-09,-9.306961675424081e-12,0.0005,7.79568834313217e-07,43.69612218296823,0.7159565729245209
1.0,0.5151020408163265,7.311698409760006e-08,5.2859903297471994e-09,-9.721178221792184e-12,0.0005,7.79568834313217e-07,45.48000510920075,0.7069802075017948
1.0,0.5353061224489796,7.802969184383186e-08,5.285589689398887e-09,-1.010719995023104e-11,0.0005,7.79568834313217e-07,47.26388803543327,0.6986038871804093
1.0,0.5555102040816327,8.315510159417135e-08,5.285365216358054e-09,-1.0302869443101501e-11,0.0005,7.79568834313217e-07,49.04777096166578,0.6913219462935619
1.0,0.5757142857142857,8.83654083227253e-08,5.285064632975234e-09,-1.059323083505266e-11,0.0005,7.79568834313217e-07,50.831653887898305,0.6839806309565609
1.0,0.5959183673469388,9.317162054683617e-08,5.283644083346051e-09,-1.211379110373108e-11,0.0005,7.79568834313217e-07,52.61553681413083,0.6731093659990801
1.0,0.6161224489795918,9.858762259980734e-08,5.28317459293142e-09,-1.2631069819264135e-11,0.0005,7.79568834313217e-07,54.399419740363335,0.6662908589059333
1.0,0.6363265306122449,1.041420340930544e-07,5.28275331594871e-09,-1.307054575440535e-11,0.0005,7.79568834313217e-07,56.18330266659586,0.6598443791273292
1.0,0.656530612244898,1.0984674413699703e-07,5.282357710841096e-09,-1.3483747978832351e-11,0.0005,7.79568834313217e-07,57.96718559282837,0.6538117998014329
1.0,0.676734693877551,1.1652255772578132e-07,5.284456848764105e-09,-1.1115401864704612e-11,0.0005,7.79568834313217e-07,59.751068519060894,0.65275266331336
1.0,0.6969387755102041,1.2269248727095977e-07,5.2848014205912306e-09,-1.0761010575877997e-11,0.0005,7.79568834313217e-07,61.534951445293416,0.6480436238300205
1.0,0.7171428571428571,1.2891119412150865e-07,5.2850351942688215e-09,-1.0537900701341625e-11,0.0005,7.79568834313217e-07,63.318834371525924,0.643064898251568
1.0,0.7373469387755102,1.3527119377079962e-07,5.285400228259295e-09,-1.017162864249756e-11,0.0005,7.79568834313217e-07,65.10271729775845,0.6383179933025217
1.0,0.7575510204081632,1.4177332614329116e-07,5.285892369772316e-09,-9.677974180726084e-12,0.0005,7.79568834313217e-07,66.88660022399097,0.6337913105001914
1.0,0.7777551020408163,1.4841612087791075e-07,5.286433719064918e-09,-9.145003365673187e-12,0.0005,7.79568834313217e-07,68.67048315022349,0.6294639547721267
1.0,0.7979591836734694,1.551984950503148e-07,5.287157793519573e-09,-8.439030913528389e-12,0.0005,7.79568834313217e-07,70.45436607645601,0.6253190767832779
1.0,0.8181632653061224,1.6212267238792211e-07,5.288028745362011e-09,-7.538520980855654e-12,0.0005,7.79568834313217e-07,72.23824900268852,0.621354329279445
1.0,0.8383673469387755,1.691874415947345e-07,5.289100630654279e-09,-6.531338918147176e-12,0.0005,7.79568834313217e-07,74.02213192892104,0.6175540021062115
1.0,0.8585714285714285,1.763926255676208e-07,5.2902837379404015e-09,-5.388276243267337e-12,0.0005,7.79568834313217e-07,75.80601485515355,0.6139077102191309
1.0,0.8787755102040816,1.8249592741560248e-07,5.2825280608848376e-09,-1.3681158973962372e-11,0.0005,7.79568834313217e-07,77.58989778138607,0.6062794017505935
1.0,0.8989795918367347,1.916558624951988e-07,5.293225890335001e-09,-2.5455809097223952e-12,0.0005,7.79568834313217e-07,79.37378070761858,0.6084122783897741
1.0,0.9191836734693878,1.990317103047198e-07,5.295105006293527e-09,-6.490284613832771e-13,0.0005,7.79568834313217e-07,81.1576636338511,0.6043565014902338
1.0,0.9393877551020408,2.0665334908590956e-07,5.29683597678624e-09,1.0016221843173107e-12,0.0005,7.79568834313217e-07,82.94154656008361,0.600797594833022
1.0,0.9595918367346938,2.144703251063334e-07,5.298770211597803e-09,2.9166352273615813e-12,0.0005,7.79568834313217e-07,84.72542948631613,0.5975436667246361
1.0,0.9797959183673469,2.2236595918583697e-07,5.300646357797095e-09,4.6771551373362504e-12,0.0005,7.79568834313217e-07,86.50931241254865,0.5942546372830787
1.0,1.0,2.305681615643767e-07,5.303073595537819e-09,7.021825815540119e-12,0.0005,7.79568834313217e-07,88.29319533878117,0.5915273967243757
2.0,0.01,5.617660709175456e-10,1.6125950256118377e-08,-2.514072627637059e-13,0.0005,1.257103060060712e-06,1.1212060738600698,8.937470423314616
2.0,0.030204081632653063,1.9946612576184023e-09,1.041667486013416e-08,-2.1629954472667345e-13,0.0005,1.257103060060712e-06,3.386499978189598,3.478539936722496
2.0,0.05040816326530612,3.883781428725309e-09,1.0431506795297806e-08,-5.812119027577374e-13,0.0005,1.257103060060712e-06,5.651793882519127,2.4317120471278844
